Name,Info,Playstyle,Playstyle+
Finesse Shot,A player who is known to try and place the ball when shooting at goal.,Performs finesse shots faster with additional curve and improved accuracy.,Performs finesse shots significantly faster with maximum curve and exceptional accuracy.
Chip Shot,A player who is known to often try to chip the goalkeeper when shooting at goal.,Performs chip shots faster and with greater accuracy.,Performs chip shots more quickly with exceptional accuracy.
Power Shot,A player who is known for taking powerful shots from outside the box.,Performs power shots faster and with increased speed.,Performs power shots much faster and with a significant increase in speed.
Dead Ball,A player who is known for being a specialist at taking set pieces.,"Set pieces are delivered with increased speed, curve, and accuracy. Ball trajectory preview line is longer.","Set pieces are delivered with exceptional speed, curve, and accuracy. Ball trajectory preview line is at maximum length."
Precision Header,"An offensive player who is known for controlled and accurate headers, excelling in aerial battles rather than relying on raw power.",Performs headers with increased accuracy and power.,Performs headers with greatly increased accuracy and power.
Acrobatic,"A player who tends to perform acrobatic passes, clearances, and shots.",Performs volleys with improved accuracy and has access to acrobatic volley animations.,Performs volleys with significant accuracy and has access to unique acrobatic volley animations.
Low Driven Shot,A player who can execute precise shots with increased shot accuracy.,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.","Enhances a player's ability to perform low driven shots with significantly enhanced accuracy, even faster ball travel, and quicker shot execution."
Gamechanger,"A player who is known for extraordinary and unconventional finishes, excelling at creative and unpredictable shots.",Fancy and Trivela shots are performed with improved accuracy.,Fancy and Trivela shots are performed with greatly improved accuracy.
Incisive Pass,A player who is known for making defense-splitting passes for a teammate to run onto.,"Through Passes are more accurate, Swerve Passes are delivered with more curve, and Precision Passes travel faster to the destination.","Through Passes are far more accurate, Swerve Passes are delivered with maximum curve, and Precision Passes travel at top speed to the destination."
Pinged Pass,A player who is known for making high speed ground passes.,Passes travel faster along the ground without impacting the trapping difficulty of the receiver.,Passes travel much faster along the ground without impacting the trapping difficulty of the receiver.
Long Ball Pass,A player who is known for performing lobbed long passes to teammates.,"Lob and Lofted Through Passes are more accurate, travel faster, and are more difficult to intercept.","Lob and Lofted Through Passes are even more accurate, travel faster than ever, and are far more difficult to intercept."
Tiki Taka,A player who is known for making first-time accurate and short passes.,"Executes difficult first-time Ground Passes with high accuracy, using backheels when contextually appropriate. Short distance Ground Passes are highly accurate.","Executes difficult first-time Ground Passes with even greater accuracy, using backheels when contextually appropriate. Short distance Ground Passes are exceptionally accurate."
Whipped Pass,A player who is known for making high-speed whipped crosses into the box.,"All crosses are highly accurate, travel faster, and with more curve.","All crosses are highly accurate, travel faster, and with more curve. Performs driven crosses with exceptional power."
Inventive,"A player who is known for creative passing and the ability to perform clever, unpredictable combinations.",Fancy and Trivela passes are performed with improved accuracy.,Fancy and Trivela passes are performed with greatly improved accuracy.
Jockey,A player who is known for being successful in 1v1 situations.,Increased max speed of Sprint Jockey and improved transition speed from jockey to sprint.,Increased max speed of Sprint Jockey and greatly improves transition speed from jockey to sprint.
Block,A player who is known for performing elastic and overreaching blocks.,Increased reach when performing blocks and improved ability to make a successful block.,Even greater reach when performing blocks and improved ability to make a successful block.
Intercept,A player who is known for performing interceptions and keeping ball possession.,Increased reach and improved chances of retaining possession of the ball when performing interceptions.,Even greater reach and improved chances of retaining possession of the ball when performing interceptions.
Anticipate,A player who is known for having a high success rate getting ball possession on tackles with a low fouling rate.,Improved chances of standing tackle success and grants the ability to stop the ball directly at their feet when performing a standing tackle.,Significantly improved chances of standing tackle success and grants the ability to stop the ball directly at their feet when performing a standing tackle.
